event,sentence
"('Wade,Dwyane', 'pts', '13')",PLAYER_LAST was limited to STAT points on 4 of 16 shooting and Bosh added eight points and eight rebounds.
"('Wade,Dwyane', 'fg', '4')",PLAYER_LAST was limited to _STAT_ on STAT of 16 shooting and Bosh added eight eight rebounds.
"('Wade,Dwyane', 'trb', '4')",PLAYER_LAST was limited to _STAT_ on STAT of 16 shooting and Bosh added eight eight rebounds.
"('Pierce,Paul', 'fg3', '3')","But Boston, which once led by 19, got the last five on a STAT pointer by Allen and two free throws by Pierce."
"('James,LeBron', 'tov', '8')","The trio combined for 15 of the Heat's _STAT_ turnovers    STAT by James, six by Wade and one by Bosh."
"('MIA', 'tov', '17')","The trio combined for 15 of the Heat's _STAT_ turnovers    eight by James, six by Wade and one by Bosh."
"('MIA', 'fg3', '8')","The trio combined for 15 of the Heat's _STAT_ turnovers    eight by James, six by Wade and one by Bosh."
"('Wade,Dwyane', 'tov', '6')","The trio combined for 15 of the Heat's _STAT_ turnovers    eight by James, STAT by PLAYER_LAST and one by Bosh."
"('Wade,Dwyane', 'fg3', '1')","The trio combined for 15 of the Heat's _STAT_ turnovers    eight by James, six by PLAYER_LAST and STAT by Bosh."
"('Jones,James', 'pts', '6')","The trio combined for 15 of the Heat's _STAT_ turnovers    eight by James, STAT by Wade and one by Bosh."
"('Garnett,Kevin', 'pts', '10')","Tuesday's decision went to the Celtics behind _STAT_ points from Ray Allen, 19 from Paul Pierce and STAT points and STAT rebounds from PLAYER_FIRST Garnett."
"('Garnett,Kevin', 'trb', '10')","Tuesday's decision went to the Celtics behind _STAT_ from Ray Allen, 19 from Paul Pierce and STAT STAT rebounds from PLAYER_FIRST Garnett."
"('Garnett,Kevin', 'pts', '10')","Tuesday's decision went to the Celtics behind _STAT_ points from Ray Allen, 19 from Paul Pierce and STAT points and STAT rebounds from PLAYER_FIRST Garnett."
"('Garnett,Kevin', 'trb', '10')","Tuesday's decision went to the Celtics behind _STAT_ from Ray Allen, 19 from Paul Pierce and STAT STAT rebounds from PLAYER_FIRST Garnett."
"('Rondo,Rajon', 'ast', '17')","PLAYER_FIRST PLAYER_LAST had STAT assists, two more than Miami had as a team."
"('Rondo,Rajon', 'fg', '2')","PLAYER_FIRST PLAYER_LAST had 17 assists, STAT more than Miami had as a team."
"('Allen,Ray', 'fg3', '5')","But Boston, which once led by 19, got the last STAT on a 3 pointer by PLAYER_LAST and two free throws by Pierce."
"('Wade,Dwyane', 'fg3', '1')","""This is STAT of 82,"" said Wade, whose preseason action was limited to the first three minutes because of a strained right hamstring."
"('Bosh,Chris', 'pts', '8')",Wade was limited to _STAT_ points on 4 of 16 shooting and PLAYER_LAST added STAT points and STAT rebounds.
"('Bosh,Chris', 'trb', '8')",Wade was limited to _STAT_ on 4 of 16 shooting and PLAYER_LAST added STAT STAT rebounds.
"('Bosh,Chris', 'pts', '8')",Wade was limited to _STAT_ points on 4 of 16 shooting and PLAYER_LAST added STAT points and STAT rebounds.
"('Bosh,Chris', 'trb', '8')",Wade was limited to _STAT_ on 4 of 16 shooting and PLAYER_LAST added STAT STAT rebounds.
"('Davis,Glen', 'pts', '13')",PLAYER_FIRST PLAYER_LAST had STAT points on 6 for 7 shooting and five rebounds in 29 minutes off Boston's bench.
"('Davis,Glen', 'fg', '6')",PLAYER_FIRST PLAYER_LAST had _STAT_ on STAT for 7 shooting and five rebounds in 29 minutes off Boston's bench.
"('Davis,Glen', 'trb', '5')",PLAYER_FIRST PLAYER_LAST had _STAT_ on 6 for 7 shooting and STAT rebounds in 29 minutes off Boston's bench.
"('Bosh,Chris', 'pts', '8')","The trio combined for 15 of the Heat's _STAT_ turnovers    STAT by James, six by Wade and one by Bosh."
"('Bosh,Chris', 'tov', '1')","The trio combined for 15 of the Heat's _STAT_ turnovers    eight by James, six by Wade and STAT by Bosh."
"('Pierce,Paul', 'pts', '19')","Tuesday's decision went to the Celtics behind _STAT_ points from Ray Allen, STAT from PLAYER_FIRST PLAYER_LAST and _STAT_ points and _STAT_ rebounds from Kevin Garnett."
"('Allen,Ray', 'pts', '20')","Tuesday's decision went to the Celtics behind STAT points from PLAYER_FIRST Allen, 19 from Paul Pierce and _STAT_ points and _STAT_ rebounds from Kevin Garnett."
"('Nash,Steve', 'pts', '26')","PLAYER_FIRST PLAYER_LAST had STAT points for the Suns, who trailed most of the first half before going ahead in the third quarter."
"('PHO', 'pts', '92')",Batum had _STAT_ points and _STAT_ rebounds in Portland's 106 92 victory over the Phoenix Suns on Tuesday night.
"('Johnson,Armon', 'pts', '6')","Phoenix led by as many as STAT points until Johnson, who finished his NBA debut with STAT points, tied it."
"('Johnson,Armon', 'pts', '6')","Phoenix led by as many as STAT points until Johnson, who finished his NBA debut with STAT points, tied it."
"('Childress,Josh', 'pts', '4')","Childress, who broke the tip of his right index finger in the preseason, nevertheless made his debut with the Suns and scored STAT points."
"('POR', 'fg3', '10')",Portland has won its last 10 home openers.
"('Richardson,Jason', 'pts', '22')",PLAYER_LAST finished with STAT points.
"('POR', 'pts', '106')",Batum had _STAT_ points and _STAT_ rebounds in Portland's 106 92 victory over the Phoenix Suns on Tuesday night.
"('Roy,Brandon', 'pts', '24')","PLAYER_FIRST PLAYER_LAST added STAT points for the Blazers, who fell to Phoenix in the first round of the playoffs last season."
"('Batum,Nicolas', 'fg3', '3')","PLAYER_LAST added two more STAT pointers, including his final one with 22.9 seconds left."
"('Batum,Nicolas', 'fg3', '3')","The Blazers outscored the Suns 18 1 over the final 5:44, and PLAYER_LAST had 11 of those    including STAT STAT pointers."
"('Batum,Nicolas', 'fg3', '3')","The Blazers outscored the Suns 18 1 over the final 5:44, and PLAYER_LAST had 11 of those    including STAT STAT pointers."
"('Batum,Nicolas', 'pts', '19')","After Andre Miller's STAT foot jumper, PLAYER_LAST hit a 3 pointer and a pull up jumper to make it 97 91 with 3:14 left."
"('Batum,Nicolas', 'fg3', '3')","After Andre Miller's 19 foot jumper, PLAYER_LAST hit a STAT pointer and a pull up jumper to make it 97 91 with 3:14 left."
"('Batum,Nicolas', 'pts', '19')",PLAYER_LAST had STAT points and _STAT_ rebounds in Portland's 106 92 victory over the Phoenix Suns on Tuesday night.
"('Batum,Nicolas', 'trb', '11')",PLAYER_LAST had STAT rebounds in Portland's 106 92 victory over the Phoenix Suns on Tuesday night.
"('Richardson,Jason', 'fg3', '3')",The Suns stormed back and Richardson's STAT pointer made it 70 69.
"('Blake,Steve', 'fg', '3')",Gasol and Scola traded baskets before PLAYER_LAST came open on the perimeter and confidently drained his third STAT pointer.
"('Blake,Steve', 'fg3', '3')",Gasol and Scola traded baskets before PLAYER_LAST came open on the perimeter and confidently drained his third STAT pointer.
"('LAL', 'pts', '112')", seconds left and Los Angeles rallied late for a 112 110 victory over the Houston Rockets on Tuesday night.
"('LAL', 'fg3', '9')",The nine remaining Lakers' rings are small asteroids of excess designed by owner Jerry Buss.
"('HOU', 'pts', '110')", seconds left and Los Angeles rallied late for a 112 110 victory over the Houston Rockets on Tuesday night.
"('Varejao,Anderson', 'blk', '1')",PLAYER_LAST mimicked STAT of James' signature chase down blocks by running down Allen from behind and swatting his layup into the stands.
"('CLE', 'fg3', '6')",6    and Cleveland is waiting.
"('Sessions,Ramon', 'pts', '14')","""It felt like Game 7 of the finals,"" said Cavs guard PLAYER_FIRST Sessions, who scored STAT and started in place of injured Mo Williams."
"('Morrow,Anthony', 'ast', '0')","""We're moving forward,"" said point guard Devin Harris, who had nine assists, including one on Morrow's go ahead basket."
"('Morrow,Anthony', 'fg3', '3')","""I had no doubt I was going to make that,"" said Morrow, who was STAT of 6 from long range."
"('Villanueva,Charlie', 'pts', '14')","Tayshaun Prince, Rodney Stuckey and PLAYER_FIRST PLAYER_LAST had STAT points apiece for the Pistons, who had seven players in double figures."
"('Morrow,Anthony', 'pts', '13')","Morrow, who was signed a free agent in the offseason, added STAT points, and Jordan Farmar and Terrence Williams each had 10."
"('Prince,Tayshaun', 'pts', '14')","PLAYER_FIRST Prince, Rodney Stuckey and Charlie Villanueva had STAT points apiece for the Pistons, who had seven players in double figures."
"('Lopez,Brook', 'pts', '25')", PLAYER_FIRST PLAYER_LAST led the Nets with STAT points and nine rebounds.
"('Lopez,Brook', 'trb', '9')", PLAYER_FIRST PLAYER_LAST led the Nets with STAT rebounds.
"('NJN', 'orb', '9')", Brook Lopez led the Nets with nine rebounds.
"('Stuckey,Rodney', 'pts', '14')","Tayshaun Prince, PLAYER_FIRST PLAYER_LAST and Charlie Villanueva had STAT points apiece for the Pistons, who had seven players in double figures."
"('Harris,Devin', 'fg3', '0')","""We're moving forward,"" said point guard PLAYER_FIRST Harris, who had nine assists, including one on Morrow's go ahead basket."
"('Harris,Devin', 'pts', '22')","""We're moving forward,"" said point guard PLAYER_FIRST Harris, who had STAT points and nine assists, including one on Morrow's go ahead basket."
"('Harris,Devin', 'ast', '9')","""We're moving forward,"" said point guard PLAYER_FIRST Harris, who had STAT assists, including one on Morrow's go ahead basket."
