event,sentence
"('Okafor,Emeka', 'pts', '10')",Beal scored eight points    all in the first half    and PLAYER_FIRST PLAYER_LAST had STAT points.
"('Crawford,Jordan', 'pts', '11')"," PLAYER_FIRST PLAYER_LAST scored STAT points to lead the Wizards, who were without star point guard John Wall, power forward Nene and forward Kevin Seraphin."
"('Crawford,Jordan', 'fg3', '0')"," PLAYER_FIRST PLAYER_LAST scored _STAT_ to lead the Wizards, who were without star point guard John Wall, power forward Nene and forward Kevin Seraphin."
"('WAS', 'fg3', '8')","Washington was only 8 of 32 on 3 pointers, and missed some big ones in the fourth."
"('WAS', 'fg', '32')","Washington was only 8 of 32 on 3 pointers, and missed some big ones in the fourth."
"('Varejao,Anderson', 'trb', '23')","Playing his first home game after missing the final 41 last season with a broken wrist, PLAYER_LAST had a career high STAT rebounds."
"('Thompson,Tristan', 'fg', '5')",PLAYER_LAST finished with STAT assists.
"('Thompson,Tristan', 'ast', '5')",PLAYER_LAST finished with STAT assists.
"('Beal,Bradley', 'pts', '8')",PLAYER_LAST scored STAT points    all in the first half    and Emeka Okafor had 10 points.
"('Lee,Courtney', 'pts', '11')",An STAT 2 run late in the fourth quarter got Boston within 111 107 on PLAYER_FIRST Lee's layup with 2:09 left.
"('Bosh,Chris', 'pts', '19')",PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds for Miami.
"('Bosh,Chris', 'trb', '10')",PLAYER_FIRST PLAYER_LAST had STAT rebounds for Miami.
"('Rondo,Rajon', 'pts', '20')","Paul Pierce scored 23 points, PLAYER_LAST finished with STAT points and 13 assists, and Leandro Barbosa scored 16 for Boston."
"('Rondo,Rajon', 'ast', '13')","Paul Pierce scored 23 PLAYER_LAST finished with STAT assists, and Leandro Barbosa scored 16 for Boston."
"('BOS', 'pts', '107')",An 11 2 run late in the fourth quarter got Boston within 111 107 on Courtney Lee's layup with 2:09 left.
"('Pierce,Paul', 'pts', '23')","PLAYER_FIRST PLAYER_LAST scored STAT points, Rondo finished with _STAT_ points and 13 assists, and Leandro Barbosa scored 16 for Boston."
"('Barbosa,Leandro', 'pts', '16')","Paul Pierce scored 23 points, Rondo finished with _STAT_ points and 13 assists, and PLAYER_FIRST PLAYER_LAST scored STAT for Boston."
"('Green,Jeff', 'pts', '3')",PLAYER_LAST finished with STAT points in 23 minutes.
"('LAL', 'fg3', '3')","The Mavericks had opened the season against the Lakers three previous times, losing all three games."
"('LAL', 'fg3', '3')","The Mavericks had opened the season against the Lakers three previous times, losing all three games."
"('Mayo,O.J.', 'pts', '12')","PLAYER_LAST had STAT points as the Mavericks pulled off a stunner in their opener, comfortably beating the Lakers without any help from injured Dirk Nowitzki."
"('Gasol,Pau', 'pts', '23')","""It's not the way we wanted it to go,"" said Gasol, who led the Lakers with STAT points and 13 rebounds."
"('Gasol,Pau', 'trb', '13')","""It's not the way we wanted it to go,"" said Gasol, who led the Lakers with STAT rebounds."
"('Lowry,Kyle', 'pts', '21')"," PLAYER_FIRST PLAYER_LAST led Toronto with STAT points, and Jonas Valanciunas had _STAT_ points and _STAT_ rebounds in his NBA debut."
"('Hill,George', 'fg', '3')","PLAYER_LAST made a STAT pointer, and West followed with a turnaround bank shot to cut it to 86 85 with 2:38 remaining."
"('TOR', 'pts', '88')","Hill scored the go ahead basket with two seconds left, completing Indiana's rally in a 90 88 victory over the Toronto Raptors on Wednesday night."
"('IND', 'pts', '90')","Hill scored the go ahead basket with two seconds left, completing Indiana's rally in a 90 88 victory over the Toronto Raptors on Wednesday night."
"('IND', 'fg3', '5')"," Indiana played without forward Danny Granger, the team's leading scorer the past five seasons, who is sidelined indefinitely with soreness in his left knee."
"('Bargnani,Andrea', 'pts', '16')","PLAYER_FIRST PLAYER_LAST had STAT points, and Jose Calderon added 15 for the Raptors."
"('Calderon,Jose', 'pts', '15')","Andrea Bargnani had 16 points, and PLAYER_FIRST PLAYER_LAST added STAT for the Raptors."
"('Hibbert,Roy', 'pts', '14')",PLAYER_FIRST PLAYER_LAST added STAT points for Indiana.
"('TOR', 'fg3', '6')","Toronto is 9 9 in season openers, going 6 6 at home."
"('TOR', 'fg3', '6')","Toronto is 9 9 in season openers, going 6 6 at home."
"('Lowry,Kyle', 'fg3', '2')","PLAYER_LAST made STAT shots from the foul line, but West then hit an open jumper."
"('Hill,George', 'fg3', '1')",PLAYER_LAST tied it at 88 with 59 seconds left by making STAT of two free throws.
"('Hill,George', 'ft', '1')",PLAYER_LAST tied it at 88 with 59 seconds left by making STAT of two free throws.
"('Valanciunas,Jonas', 'pts', '12')"," Kyle Lowry led Toronto with 21 points, and PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds in his NBA debut."
"('Valanciunas,Jonas', 'trb', '10')", Kyle Lowry led Toronto with 21 and PLAYER_FIRST PLAYER_LAST had STAT rebounds in his NBA debut.
"('Wright,Dorell', 'pts', '14')","Holiday had STAT and 11 assists, and PLAYER_FIRST PLAYER_LAST scored STAT points for the revamped Sixers."
