event,sentence
"('Patterson,Lamar', 'pts', '5')","Rookie G F PLAYER_FIRST Patterson, a second round pick in 2014 who played last season in Turkey, had STAT points in 18 minutes."
"('Schroder,Dennis', 'pts', '20')",PLAYER_FIRST PLAYER_LAST led the Hawks with STAT points.
"('Ilyasova,Ersan', 'pts', '16')","PLAYER_FIRST PLAYER_LAST chipped in with STAT points, while Reggie Jackson added 15."
"('Morris,Marcus', 'pts', '18')",PLAYER_LAST also had a double double with STAT points and 10 rebounds.
"('Morris,Marcus', 'trb', '10')",PLAYER_LAST also had a double double with STAT rebounds.
"('Drummond,Andre', 'pts', '18')", PLAYER_LAST had STAT points.
"('Love,Kevin', 'fg3', '3')",PLAYER_LAST nailed back to back STAT pointers to make it 97 95 with 33 seconds remaining.
"('Love,Kevin', 'pts', '18')",PLAYER_FIRST PLAYER_LAST added STAT points and eight rebounds.
"('Love,Kevin', 'trb', '8')",PLAYER_FIRST PLAYER_LAST added STAT rebounds.
"('Mirotic,Nikola', 'fg3', '3')","Mirotic, starting over Joakim Noah, nailed STAT STAT pointers."
"('Mirotic,Nikola', 'fg3', '3')","Mirotic, starting over Joakim Noah, nailed STAT STAT pointers."
"('Thompson,Tristan', 'fg3', '0')",Mirotic immediately converted a three point play after getting fouled by PLAYER_FIRST PLAYER_LAST on a baseline floater.
"('Rose,Derrick', 'fg', '8')","Rose, playing with a mask to protect his fractured left orbital, shot just STAT of 22 after missing almost the entire preseason."
"('Mirotic,Nikola', 'fg3', '3')",PLAYER_LAST immediately converted a STAT point play after getting fouled by Tristan Thompson on a baseline floater.
"('Williams,Mo', 'pts', '19')","The Cavaliers got STAT points and seven assists from PLAYER_FIRST Williams, filling in while Kyrie Irving recovers from a fractured left kneecap."
"('Williams,Mo', 'fg', '7')","The Cavaliers got STAT assists from PLAYER_FIRST Williams, filling in while Kyrie Irving recovers from a fractured left kneecap."
"('Williams,Mo', 'ast', '7')","The Cavaliers got STAT assists from PLAYER_FIRST Williams, filling in while Kyrie Irving recovers from a fractured left kneecap."
"('Butler,Jimmy', 'pts', '17')",PLAYER_LAST added STAT points and two steals to go with that deflected pass.
"('Butler,Jimmy', 'stl', '2')",PLAYER_LAST added STAT steals to go with that deflected pass.
"('GSW', 'ft', '20')"," rebounds in two games against Golden State last season, shot 4 for 20 and scored 10 of his _STAT_ on free throws."
"('Curry,Stephen', 'pts', '40')",It was Curry's 10th career STAT point game.
"('Perkins,Kendrick', 'fg', '5')","In his Pelicans debut, PLAYER_FIRST PLAYER_LAST battled Andrew Bogut down low and made all STAT of his field goal tries for 10 points."
"('Perkins,Kendrick', 'pts', '10')","In his Pelicans debut, PLAYER_FIRST PLAYER_LAST battled Andrew Bogut down low and made all five of his field goal tries for STAT points."
"('Barnes,Harrison', 'fg', '3')",PLAYER_LAST missed his initial seven shots and wound up STAT of 12 for eight points.
"('Barnes,Harrison', 'pts', '8')",PLAYER_LAST missed his initial seven shots and wound up 3 of 12 for STAT points.
"('Harris,Tobias', 'pts', '15')",PLAYER_LAST added STAT points.
"('ORL', 'fg3', '5')",Orlando plays five of its first eight games on the road.
"('WAS', 'pts', '88')", seconds to play and the Washington Wizards rallied to defeat the Orlando Magic 88 87 Wednesday night in the season opener for both teams.
"('ORL', 'fg', '37')","The Magic shot just 37 percent, despite _STAT_ field goal attempts."
"('Wall,John', 'blk', '5')",TIP INS: PLAYER_LAST finished with STAT blocks.
"('Oladipo,Victor', 'pts', '17')",PLAYER_FIRST PLAYER_LAST led the Magic with STAT points and 11 rebounds.
"('Oladipo,Victor', 'trb', '11')",PLAYER_FIRST PLAYER_LAST led the Magic with STAT rebounds.
