event,sentence
"('Bass,Brandon', 'pts', '20')"," PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds in his Celtics debut, and Ray Allen added STAT points."
"('Bass,Brandon', 'trb', '11')"," PLAYER_FIRST PLAYER_LAST had STAT rebounds in his Celtics debut, and Ray Allen added _STAT_ points."
"('Bass,Brandon', 'pts', '20')"," PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds in his Celtics debut, and Ray Allen added STAT points."
"('Allen,Ray', 'pts', '20')"," Brandon Bass had STAT points and _STAT_ rebounds in his Celtics debut, and PLAYER_FIRST PLAYER_LAST added STAT points."
"('Allen,Ray', 'pts', '20')"," Brandon Bass had STAT points and _STAT_ rebounds in his Celtics debut, and PLAYER_FIRST PLAYER_LAST added STAT points."
"('Rondo,Rajon', 'pts', '31')","PLAYER_FIRST PLAYER_LAST had STAT points and 13 assists, nearly leading the Celtics back without an injured Paul Pierce."
"('Rondo,Rajon', 'ast', '13')","PLAYER_FIRST PLAYER_LAST had STAT assists, nearly leading the Celtics back without an injured Paul Pierce."
"('Garnett,Kevin', 'pts', '15')",PLAYER_LAST finished with STAT points.
"('Chalmers,Mario', 'fg3', '0')","""It was showtime,"" said Heat point guard PLAYER_FIRST Chalmers, who had the initial pass to James."
"('Terry,Jason', 'pts', '23')","PLAYER_FIRST PLAYER_LAST sparked a Dallas rally, that started after Odom was tossed, and wound up leading Dallas with STAT points."
"('James,LeBron', 'pts', '37')"," PLAYER_LAST finished with STAT points, _STAT_ rebounds and six assists."
"('James,LeBron', 'trb', '10')", PLAYER_LAST finished with 37 STAT rebounds and six assists.
"('James,LeBron', 'ast', '6')", PLAYER_LAST finished with 37 _STAT_ rebounds and STAT assists.
"('Marion,Shawn', 'pts', '12')",PLAYER_FIRST PLAYER_LAST scored STAT and broke the pinky finger on his left hand.
"('James,LeBron', 'fg3', '0')","""It was showtime,"" said Heat point guard Mario Chalmers, who had the initial pass to James."
"('Nowitzki,Dirk', 'pts', '21')",PLAYER_LAST scored STAT in three quarters.
"('Carter,Vince', 'pts', '5')","PLAYER_LAST had STAT points, two rebounds and three assists in 21 minutes."
"('Carter,Vince', 'fg', '2')",PLAYER_LAST had five STAT rebounds and three assists in 21 minutes.
"('Carter,Vince', 'trb', '2')",PLAYER_LAST had five STAT rebounds and three assists in 21 minutes.
"('Carter,Vince', 'ast', '3')",PLAYER_LAST had five two rebounds and STAT assists in 21 minutes.
"('Wade,Dwyane', 'pts', '26')","PLAYER_LAST had STAT points, eight rebounds and six assists."
"('Wade,Dwyane', 'trb', '8')",PLAYER_LAST had 26 STAT rebounds and six assists.
"('Wade,Dwyane', 'ast', '6')",PLAYER_LAST had 26 eight rebounds and STAT assists.
"('DAL', 'fg3', '9')"," Game notes
Miami had lost 14 straight regular season games to the Mavericks and nine straight in Dallas, dating to March 2004."
"('West,Delonte', 'pts', '10')",PLAYER_LAST started the second half in his place and finished with STAT points.
"('Carter,Vince', 'fg', '2')"," PLAYER_LAST took Dallas' first STAT shots, an 18 footer and a layup."
"('Gasol,Pau', 'pts', '14')","PLAYER_LAST added STAT points for the Lakers, but was held scoreless in the fourth quarter while committing four fouls."
"('CHI', 'fg3', '7')",The Bulls had to score the final seven to earn their first road win over the Lakers in six tries.
"('LAL', 'pts', '87')","Los Angeles still led 87 81 on Bryant's jumper with 54 seconds left, but Deng and Rose took the game away from him."
"('LAL', 'fg3', '4')","Gasol added _STAT_ for the Lakers, but was held scoreless in the fourth quarter while committing four fouls."
"('Hamilton,Richard', 'pts', '6')","Rip PLAYER_LAST scored STAT points in his first start for the Bulls, who signed the veteran shooter 11 days earlier."
"('Rose,Derrick', 'fg', '9')","""We definitely don't want to be in a situation like that, but we fought our way back,"" said Rose, who went STAT for 13."
"('Harden,James', 'pts', '19')",PLAYER_FIRST PLAYER_LAST added STAT points and the Thunder duo of Kendrick Perkins and Nazr Mohammed limited Howard.
"('ORL', 'tov', '18')","Ryan Anderson Jameer Nelson added 18 for the Magic, who shot just 37 percent from the field and had 18 turnovers."
"('ORL', 'tov', '18')","Ryan Anderson Jameer Nelson added 18 for the Magic, who shot just 37 percent from the field and had 18 turnovers."
"('ORL', 'fg', '30')","The Thunder outscored the Magic in the paint, 32 30 but were outrebounded 45 43."
