event,sentence
"('Harkless,Maurice', 'pts', '14')",PLAYER_FIRST PLAYER_LAST added STAT and Jameer Nelson had 12 as the Magic shot 38.7 percent from the field.
"('IND', 'tov', '20')",Indiana committed _STAT_ turnovers and gave up 13 offensive rebounds against the worst team in the league last season.
"('George,Paul', 'pts', '24')","PLAYER_LAST finished with STAT points, six rebounds and five assists."
"('George,Paul', 'trb', '6')",PLAYER_LAST finished with 24 STAT rebounds and five assists.
"('George,Paul', 'ast', '5')",PLAYER_LAST finished with 24 six rebounds and STAT assists.
"('Nelson,Jameer', 'pts', '12')",Maurice Harkless added 14 and PLAYER_FIRST PLAYER_LAST had STAT as the Magic shot 38.7 percent from the field.
"('Stephenson,Lance', 'pts', '19')","PLAYER_FIRST PLAYER_LAST had STAT points, seven rebounds and five assists."
"('Stephenson,Lance', 'trb', '7')",PLAYER_FIRST PLAYER_LAST had 19 STAT rebounds and five assists.
"('Stephenson,Lance', 'ast', '5')",PLAYER_FIRST PLAYER_LAST had 19 seven rebounds and STAT assists.
"('Nicholson,Andrew', 'pts', '18')","The Magic were led by PLAYER_FIRST Nicholson, who scored all STAT of his points in the first half."
"('Cole,Norris', 'pts', '11')",Ray Allen and PLAYER_FIRST PLAYER_LAST each scored STAT for Miami.
"('MIA', 'fg3', '11')",Ray Allen and Norris Cole each scored 11 for Miami.
"('CHI', 'fg3', '7')","Carlos Boozer had seven rebounds for Chicago, which got within eight in the final minutes."
"('CHI', 'pts', '95')","But again, the Bulls weren't done, cutting the lead to 95 87 on a drive by Boozer with 2:47 left."
"('Rose,Derrick', 'pts', '12')",PLAYER_LAST finished with STAT points in 34 minutes in his first game since a serious knee injury in April 2012.
"('Rose,Derrick', 'fg', '4')",PLAYER_LAST shot STAT for 15 for the Bulls.
"('Allen,Ray', 'pts', '11')",PLAYER_FIRST PLAYER_LAST and Norris Cole each scored STAT for Miami.
"('Boozer,Carlos', 'pts', '31')","PLAYER_FIRST PLAYER_LAST had STAT points and seven rebounds for Chicago, which got within eight points in the final minutes."
"('Boozer,Carlos', 'trb', '7')","PLAYER_FIRST PLAYER_LAST had STAT rebounds for Chicago, which got within eight in the final minutes."
"('Meeks,Jodie', 'pts', '13')","""It's not a bad thing to be the underdog sometimes,"" said PLAYER_FIRST Meeks, who scored nine of his STAT points in the fourth quarter."
"('Jordan,DeAndre', 'pts', '17')",PLAYER_FIRST PLAYER_LAST added STAT points and 11 rebounds.
"('Jordan,DeAndre', 'trb', '11')",PLAYER_FIRST PLAYER_LAST added STAT rebounds.
"('Garnett,Kevin', 'trb', '10')","PLAYER_FIRST Garnett, another of Brooklyn's new pieces, had STAT rebounds."
"('Pierce,Paul', 'fg3', '3')"," seconds to go, PLAYER_LAST made a STAT pointer to pull the Nets within 97 94."
"('James,LeBron', 'pts', '25')",PLAYER_LAST had STAT points and _STAT_ assists and Chris Bosh scored 22 for Miami.
"('James,LeBron', 'ast', '13')",PLAYER_LAST had STAT assists and Chris Bosh scored 22 for Miami.
"('Turner,Evan', 'pts', '26')","PLAYER_FIRST PLAYER_LAST scored STAT points and the Sixers dominated only hours after Iverson announced his retirement, ending a 14 year career."
"('Bosh,Chris', 'pts', '22')",James had _STAT_ points and _STAT_ assists and PLAYER_FIRST PLAYER_LAST scored STAT for Miami.
"('Humphries,Kris', 'pts', '8')",PLAYER_FIRST PLAYER_LAST had STAT points and nine rebounds.
"('Humphries,Kris', 'trb', '9')",PLAYER_FIRST PLAYER_LAST had eight STAT rebounds.
"('Green,Jeff', 'pts', '25')","PLAYER_FIRST PLAYER_LAST had STAT points, Brandon Bass had 17 and Vitor Faverani 13 for the Celtics."
"('Faverani,Vitor', 'pts', '13')","Jeff Green had 25 points, Brandon Bass had 17 and PLAYER_FIRST PLAYER_LAST STAT for the Celtics."
"('Bass,Brandon', 'pts', '17')","Jeff Green had 25 points, PLAYER_FIRST PLAYER_LAST had STAT and Vitor Faverani 13 for the Celtics."
"('Lowry,Kyle', 'pts', '11')",PLAYER_FIRST PLAYER_LAST had STAT points and eight assists as Toronto improved to 10 9 in season opening games.
"('Lowry,Kyle', 'ast', '8')",PLAYER_FIRST PLAYER_LAST had STAT assists as Toronto improved to 10 9 in season opening games.
"('WAS', 'fg', '34')"," Game notes
 The Wizards went 7 34 on the road last season."
"('DET', 'orb', '12')","Andre Drummond added eight rebounds for Detroit, which is hoping to snap a streak of four straight seasons without reaching the playoffs."
"('Drummond,Andre', 'pts', '12')","PLAYER_FIRST PLAYER_LAST added STAT points and eight rebounds for Detroit, which is hoping to snap a streak of four straight seasons without reaching the playoffs."
"('Drummond,Andre', 'trb', '8')","PLAYER_FIRST PLAYER_LAST added STAT rebounds for Detroit, which is hoping to snap a streak of four straight seasons without reaching the playoffs."
"('Ariza,Trevor', 'pts', '28')","PLAYER_FIRST PLAYER_LAST scored STAT points for the Wizards, who were outscored 56 STAT in the paint."
"('Ariza,Trevor', 'pts', '28')","PLAYER_FIRST PLAYER_LAST scored STAT points for the Wizards, who were outscored 56 STAT in the paint."
"('Smith,Josh', 'fg3', '3')","Smith, Detroit's prized free agent signing, had a quiet first half, scoring five taking STAT of his four shots from beyond the arc."
"('Wall,John', 'pts', '20')","Washington's PLAYER_FIRST PLAYER_LAST had STAT points and 11 assists, but went 8 of 21 from the field."
"('Wall,John', 'ast', '11')","Washington's PLAYER_FIRST PLAYER_LAST had STAT assists, but went 8 of 21 from the field."
"('Wall,John', 'fg', '8')","Washington's PLAYER_FIRST PLAYER_LAST had 11 assists, but went STAT of 21 from the field."
"('Felton,Raymond', 'pts', '18')","PLAYER_FIRST PLAYER_LAST added STAT points and Iman Shumpert had 16 for the Knicks, who shot 51 percent but committed 22 turnovers."
"('Neal,Gary', 'pts', '16')","PLAYER_FIRST PLAYER_LAST scored STAT points and fellow newcomer Caron Butler had 14 for the Bucks, who opened on the road for the 29th consecutive year."
"('Butler,Caron', 'pts', '14')","Gary Neal scored _STAT_ points and fellow newcomer PLAYER_FIRST PLAYER_LAST had STAT for the Bucks, who opened on the road for the 29th consecutive year."
"('Shumpert,Iman', 'pts', '16')","Raymond Felton added _STAT_ points and PLAYER_FIRST PLAYER_LAST had STAT for the Knicks, who shot 51 percent but committed 22 turnovers."
"('NYK', 'tov', '22')","Raymond Felton added Iman Shumpert had 16 for the Knicks, who shot 51 percent but committed 22 turnovers."
"('Zeller,Cody', 'pts', '2')",PLAYER_LAST had STAT points and four rebounds in about 15 minutes.
"('Zeller,Cody', 'trb', '4')",PLAYER_LAST had two STAT rebounds in about 15 minutes.
"('Howard,Dwight', 'fg', '8')",Houston led by STAT after a putback layup by PLAYER_LAST early in the third quarter.
"('Beverley,Patrick', 'pts', '5')",PLAYER_LAST finished with STAT points and Lin added 16.
"('Lin,Jeremy', 'fg', '5')",Beverley finished with STAT PLAYER_LAST added 16.
"('Garcia,Francisco', 'fg3', '5')",PLAYER_FIRST PLAYER_LAST had STAT 3 pointers and finished with 19 points.
"('Garcia,Francisco', 'pts', '19')",PLAYER_FIRST PLAYER_LAST had five 3 pointers and finished with STAT points.
"('McRoberts,Josh', 'pts', '15')","The Bobcats were led by PLAYER_FIRST McRoberts, who had STAT points."
"('Jefferson,Al', 'pts', '13')","Jefferson, who signed a three year, $41 million deal in the offseason, had STAT points and eight rebounds in 31 minutes."
"('Jefferson,Al', 'trb', '8')","Jefferson, who signed a three year, $41 million deal in the offseason, had STAT rebounds in 31 minutes."
"('CHA', 'fg3', '4')","Jefferson got the Bobcats going after that, scoring four in a 7 2 run to cut the lead to 51 48."
"('Nelson,Jameer', 'pts', '18')","PLAYER_FIRST PLAYER_LAST had STAT points and eight assists and Victor Oladipo had 14 points, six rebounds and four assists for Orlando."
"('Nelson,Jameer', 'ast', '8')",PLAYER_FIRST PLAYER_LAST had STAT assists and Victor Oladipo had 14 six rebounds and four assists for Orlando.
"('Nelson,Jameer', 'trb', '4')",PLAYER_FIRST PLAYER_LAST had eight assists and Victor Oladipo had 14 six rebounds and STAT assists for Orlando.
"('ORL', 'orb', '14')",Jameer Nelson had eight assists and Victor Oladipo had 14 six rebounds and four assists for Orlando.
"('Vucevic,Nikola', 'fg', '9')", Arron Afflalo had STAT rebounds and PLAYER_FIRST PLAYER_LAST had _STAT_ rebounds for the Magic.
"('Vucevic,Nikola', 'pts', '22')", Arron Afflalo had _STAT_ points and nine rebounds and PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds for the Magic.
"('Vucevic,Nikola', 'trb', '16')", Arron Afflalo had nine rebounds and PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Magic.
"('Brewer,Corey', 'pts', '16')",PLAYER_FIRST PLAYER_LAST finished with STAT points and Martin scored _STAT_ points on 6 for 19 shooting.
"('MIN', 'pts', '120')", seconds left to force overtime in the Timberwolves' 120 115 victory over the Orlando Magic on Wednesday night.
"('Afflalo,Arron', 'pts', '28')", PLAYER_FIRST PLAYER_LAST had STAT points and nine rebounds and Nikola Vucevic had _STAT_ points and _STAT_ rebounds for the Magic.
"('Afflalo,Arron', 'trb', '9')", PLAYER_FIRST PLAYER_LAST had STAT rebounds and Nikola Vucevic had _STAT_ rebounds for the Magic.
"('Oladipo,Victor', 'pts', '14')","Jameer Nelson had _STAT_ points and eight assists and PLAYER_FIRST PLAYER_LAST had STAT points, six rebounds and four assists for Orlando."
"('Oladipo,Victor', 'trb', '6')",Jameer Nelson had eight assists and PLAYER_FIRST PLAYER_LAST had 14 STAT rebounds and four assists for Orlando.
"('Oladipo,Victor', 'ast', '4')",Jameer Nelson had eight assists and PLAYER_FIRST PLAYER_LAST had 14 six rebounds and STAT assists for Orlando.
"('ORL', 'pts', '115')", seconds left to force overtime in the Timberwolves' 120 115 victory over the Orlando Magic on Wednesday night.
"('Rubio,Ricky', 'fg3', '1')","PLAYER_LAST has at least STAT steal in 22 straight games, the second longest active streak in the NBA."
"('Afflalo,Arron', 'fg3', '3')","""A little more upset about the STAT they got off,"" PLAYER_LAST said."
"('Martin,Kevin', 'pts', '23')",Corey Brewer finished with _STAT_ points and PLAYER_LAST scored STAT points on 6 for 19 shooting.
"('Martin,Kevin', 'fg', '6')",Corey Brewer finished with PLAYER_LAST scored _STAT_ on STAT for 19 shooting.
"('Holiday,Jrue', 'pts', '24')","Eric Gordon scored 25 points, PLAYER_LAST added STAT and Anthony Davis had 20 points, _STAT_ rebounds and three blocks."
"('Davis,Anthony', 'pts', '20')","Eric Gordon scored 25 points, Holiday added 24 and PLAYER_FIRST PLAYER_LAST had STAT points, _STAT_ rebounds and three blocks."
"('Davis,Anthony', 'trb', '12')",Eric Gordon scored 25 Holiday added 24 and PLAYER_FIRST PLAYER_LAST had 20 STAT rebounds and three blocks.
"('Davis,Anthony', 'blk', '3')",Eric Gordon scored 25 Holiday added 24 and PLAYER_FIRST PLAYER_LAST had 20 _STAT_ rebounds and STAT blocks.
